Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.196490826186498,-9.35553781750022E-06,0.280052603248387,0,0,0,25.3088663609194,1.00046416956501,7.10447792619379E-05,-0.105698131930891,1.45058994792139,1.97984884068599E-05,1.76363762646327,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/base_link.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/A26022.01-01 车架-1,base_footprint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_link,-0.000177496449434461,-0.0319229440709368,0.000425975292963177,0,0,0,1.06112992026122,0.00375826267218946,-1.24034915524197E-05,-4.77579123538151E-06,0.00360047804436064,1.96023661304929E-05,0.00390777880698007,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/left_wheel_link.STL,,A26022.04 26022_工业清洁机器人_行走单元01-2/驱动轮 iWMC10409-02222-A165-MBDT-1,left_wheel_link,,left_wheel_link,fixed,0,0.23,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_wheel_link,0.000177496449434128,0.0319229440709367,0.000425975292963066,0,0,0,1.06112992026122,0.00375826267218946,-1.24034915524187E-05,4.77579123538122E-06,0.00360047804436064,-1.96023661304912E-05,0.00390777880698008,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/right_wheel_link.STL,,A26022.04 26022_工业清洁机器人_行走单元01-3/驱动轮 iWMC10409-02222-A165-MBDT-1,right_wheel_link,,right_wheel_link,fixed,0,-0.23,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gyro_link,-5.55111512312578E-17,-1.67810691686865E-17,-0.000733507653597906,0,0,0,0.140620716682058,7.21282900021027E-05,6.64032925611099E-21,-2.36980739856974E-21,5.56598991748656E-05,5.45843797695993E-21,9.75103372952217E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/gyro_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/gyro_link.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/IMU-1,gyro_link,,gyro_link,fixed,0.502,0,0.385,0,0,0,base_link,0,0,0,,,,,,,,,,,,
laser,2.95092711307121E-05,-1.74498448169635E-07,-0.0156131409395789,0,0,0,0.108631598127293,4.26587363028909E-05,1.21745038868189E-10,-2.09117590861523E-08,4.26596479187506E-05,4.87004859337588E-10,4.01202971317793E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/laser.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人.SLDASM/meshes/laser.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/激光雷达 LDS-50C-R (1)-1,laser,,laser,fixed,0.50195,0,1.0503,0,0,0,base_link,0,0,0,,,,,,,,,,,,
