Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.196490826186498,-9.35553781750466E-06,0.280052603248387,0,0,0,25.3088663609194,1.00046416956501,7.10447792618944E-05,-0.105698131930891,1.45058994792139,1.97984884068282E-05,1.76363762646327,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/base_link.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/A26022.01-01 车架-1,base_footprint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_link,-0.000177496445367825,-0.0319229440974292,0.00042597529981947,0,0,0,1.06112992059334,0.00375826267480664,-1.2403491187038E-05,-4.77579136173962E-06,0.00360047804476035,1.96023667465607E-05,0.00390777880952228,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/left_wheel_link.STL,,A26022.04 26022_工业清洁机器人_行走单元01-2/驱动轮 iWMC10409-02222-A165-MBDT-1,left_wheel_link,,left_wheel_link,continuous,0,0.23,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_wheel_link,0.000177496449434544,0.0319229440709369,0.000425975292963454,0,0,0,1.06112992026123,0.00375826267218946,-1.24034915524183E-05,4.77579123538121E-06,0.00360047804436064,-1.96023661304891E-05,0.00390777880698008,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/right_wheel_link.STL,,A26022.04 26022_工业清洁机器人_行走单元01-3/驱动轮 iWMC10409-02222-A165-MBDT-1,right_wheel_link,,right_wheel_link,continuous,0,-0.23,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gyro_link,-5.55111512312578E-17,-1.64045986140449E-17,-0.000733507653597906,0,0,0,0.140620716682058,7.21282900021027E-05,6.64032925611099E-21,-2.28582560792751E-21,5.56598991748656E-05,5.48112804763488E-21,9.75103372952217E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/gyro_link.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/gyro_link.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/IMU-1,gyro_link,,gyro_link,fixed,0.502,0,0.385,0,0,0,base_link,0,0,0,,,,,,,,,,,,
laser,2.95092711307121E-05,-1.74498448169723E-07,-0.0156131409395794,0,0,0,0.108631598127293,4.26587363028908E-05,1.21745038868245E-10,-2.09117590861874E-08,4.26596479187505E-05,4.87004859337307E-10,4.01202971317793E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/laser.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/laser.STL,,A26022.01 26022_工业清洁机器人_车架模组-1/激光雷达 LDS-50C-R (1)-1,laser,,laser,fixed,0.50195,0,1.0503,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_camera,-0.00346243958739395,-0.0111478899135408,0.00346243958739401,0,0,0,0.0469408360324594,1.55568959825687E-05,2.12333258214801E-06,-5.39746214565422E-06,1.6741160413183E-05,-2.12333258214798E-06,1.55568959825685E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/left_camera.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/left_camera.STL,,A26022.03 26022_工业清洁机器人_车载外壳-1/相机01-5,left_camera,,left_camera,fixed,-0.13292,0.32478,0.8656,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_camera,-0.00346243958739406,0.0111478899135408,0.0034624395873939,0,0,0,0.0469408360324594,1.55568959825686E-05,-2.123332582148E-06,-5.3974621456542E-06,1.6741160413183E-05,2.12333258214799E-06,1.55568959825685E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/right_camera.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/right_camera.STL,,A26022.03 26022_工业清洁机器人_车载外壳-1/相机01-4,right_camera,,right_camera,fixed,-0.13292,-0.32478,0.8656,0,0,0,base_link,0,0,0,,,,,,,,,,,,
up_camera,-0.00343154539691015,-0.00036144806033356,0.00447651747075895,0,0,0,0.0181980866823471,2.39589585532028E-05,-4.0468766013781E-08,-3.484862749332E-07,2.61882272913595E-06,8.53317022734052E-08,2.40232357358775E-05,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/up_camera.STL,1,1,1,1,0,0,0,0,0,0,package://A26022.00 26022_工业清洁机器人20260616.SLDASM/meshes/up_camera.STL,,深度相机 Gemini_2_L__20231016-1,up_camera,,up_camera,fixed,0.57945,0,0.97641,0,0,0,base_link,0,0,0,,,,,,,,,,,,
